site,ptcount,date,sppcode,type,minute,distance,howmany,comments
1,a,6/11/2018,OVEN,S,2,2,1,
1,a,6/11/2018,EAWP,S,4,3,1,
1,a,6/11/2018,CSWA,S,0,2,1,
1,a,6/11/2018,AMCR,S,0,2,1,
1,a,6/11/2018,BHCO,S,0,2,1,
1,a,6/11/2018,CCSP,S,3,3,1,
1,a,6/11/2018,SCTA,D,0,2,1,
1,a,6/11/2018,SACR,C,1,1,1,
1,a,6/11/2018,MOWA,D,2,2,1,
1,a,6/11/2018,HETH,S,0,3,1,
1,a,6/11/2018,SCTA,S,0,3,1,
1,a,6/11/2018,ALFL,S,0,2,1,
1,a,6/11/2018,OVEN,C,2,2,1,
1,b,6/12/2018,BLJA,S,0,2,1,
1,b,6/12/2018,VEER,S,1,4,1,
1,b,6/12/2018,WTSP,S,0,1,1,
1,b,6/12/2018,CAWA,S,1,3,1,
1,b,6/12/2018,REVI,S,1,2,1,
1,b,6/12/2018,CSWA,S,4,3,1,
1,c,6/13/2018,AMRE,S,4,3,1,
1,c,6/13/2018,REVI,S,0,1,1,
1,c,6/13/2018,OVEN,S,0,2,1,
1,c,6/13/2018,VEER,S,0,3,1,
1,c,6/13/2018,CSWA,C,2,1,1,
1,c,6/13/2018,TEWA,S,0,2,1,
1,c,6/13/2018,OVEN,S,4,4,1,
1,c,6/13/2018,GWWA,S,4,3,1,
1,c,6/13/2018,AMRE,S,3,1,1,
1,d,6/13/2018,OVEN,C,0,4,1,
1,d,6/13/2018,CSWA,C,0,2,1,
1,d,6/13/2018,CSWA,S,2,2,1,
1,d,6/13/2018,UPBD,S,4,2,1,
1,d,6/13/2018,CSWA,S,1,1,1,
1,d,6/13/2018,VEER,S,1,2,1,
1,d,6/13/2018,RBGR,S,0,4,1,
1,d,6/13/2018,AMRE,S,3,2,1,
1,d,6/13/2018,REVI,C,0,4,1,
1,d,6/13/2018,AMRE,S,3,4,1,
1,d,6/13/2018,ALFL,S,0,2,1,
1,d,6/13/2018,SCTA,S,0,4,1,
1,d,6/13/2018,GWWA,S,0,3,1,
2,a,6/9/2018,REVI,S,0,3,1,
2,a,6/9/2018,UWAR,O,0,4,1,
2,a,6/9/2018,CSWA,S,2,1,1,
2,a,6/9/2018,REVI,S,3,4,1,
2,a,6/9/2018,CSWA,S,0,4,1,
2,a,6/9/2018,MOWA,S,4,2,1,
2,a,6/9/2018,OVEN,S,4,3,1,
2,a,6/9/2018,AMRE,S,3,3,1,
2,a,6/9/2018,ALFL,S,0,4,1,
2,b,6/9/2018,RUGR,S,1,3,1,
2,b,6/9/2018,CMWA,S,0,4,1,
2,b,6/9/2018,CSWA,S,0,3,1,
2,b,6/9/2018,AMRE,S,0,1,1,
2,b,6/9/2018,BDOW,D,1,3,1,
2,b,6/9/2018,EABL,C,1,4,1,
2,b,6/9/2018,WTSP,S,2,1,1,
2,b,6/9/2018,RUGR,S,3,2,1,
2,b,6/9/2018,BAWW,C,0,2,1,
2,b,6/9/2018,REVI,S,1,2,1,
2,b,6/9/2018,REVI,S,0,4,1,
2,c,6/9/2018,BBCU,C,0,1,1,
2,c,6/9/2018,VEER,S,2,3,1,
2,c,6/9/2018,UWPR,S,0,2,1,
2,c,6/9/2018,OVEN,S,0,4,1,
2,c,6/9/2018,AMRE,S,0,2,1,
2,c,6/9/2018,REVI,S,0,2,1,
2,c,6/9/2018,REVI,S,2,1,1,
2,c,6/9/2018,AMRO,S,2,3,1,
2,d,6/9/2018,CSWA,F,2,2,1,
2,d,6/9/2018,GRCA,S,0,2,1,
2,d,6/9/2018,NAWA,S,0,1,1,
2,d,6/9/2018,CSWA,S,0,3,1,
2,d,6/9/2018,BLJA,S,2,3,1,
2,d,6/9/2018,AMRE,S,0,2,1,
2,d,6/9/2018,UPBD,S,0,1,1,
2,d,6/9/2018,VEER,S,4,1,2,
2,d,6/9/2018,NAWA,C,0,4,1,
2,d,6/9/2018,AMRE,S,4,1,1,
2,d,6/9/2018,GWWA,S,0,3,1,
2,d,6/9/2018,SCTA,S,4,3,1,
2,d,6/9/2018,AMRO,S,3,3,1,
3,a,6/29/2018,CSWA,S,0,2,1,
3,a,6/29/2018,OVEN,S,0,2,1,
3,a,6/29/2018,AMRE,S,4,4,1,
3,a,6/29/2018,OVEN,C,0,2,1,
3,a,6/29/2018,BWHA,S,2,3,1,
3,a,6/29/2018,OVEN,S,0,1,1,
3,a,6/29/2018,REVI,S,4,3,1,
3,a,6/29/2018,VEER,C,0,2,1,
3,a,6/29/2018,REVI,S,0,2,1,
3,a,6/29/2018,NAWA,S,0,1,1,
3,a,6/29/2018,UPBD,S,2,3,1,
3,a,6/29/2018,OVEN,S,0,4,1,
3,a,6/29/2018,AMRE,S,3,3,1,
3,a,6/29/2018,WTSP,S,4,2,1,
3,a,6/29/2018,WTSP,C,1,1,1,
3,b,6/29/2018,UPBD,S,2,4,2,
3,b,6/29/2018,VEER,F,1,2,1,
3,b,6/29/2018,REVI,S,1,1,1,
3,b,6/29/2018,AMRE,S,0,2,1,
3,b,6/29/2018,NAWA,S,0,2,1,
3,b,6/29/2018,CHSP,S,4,3,1,
3,b,6/29/2018,MOWA,O,0,4,1,
3,b,6/29/2018,OVEN,S,1,3,1,
3,b,6/29/2018,ALFL,S,3,1,1,
3,b,6/29/2018,ALFL,S,0,3,1,
3,b,6/29/2018,WTSP,C,4,4,1,
3,b,6/29/2018,VEER,S,2,2,1,
3,c,6/30/2018,CSWA,S,0,3,1,
3,c,6/30/2018,REVI,S,0,1,1,
3,c,6/30/2018,VEER,S,2,2,1,
3,c,6/30/2018,REVI,D,4,4,1,
3,c,6/30/2018,CSWA,O,3,3,1,
3,c,6/30/2018,UPBD,S,4,2,1,
3,c,6/30/2018,COYE,S,0,1,1,
3,c,6/30/2018,CSWA,S,3,4,1,
3,c,6/30/2018,CSWA,C,0,2,1,
3,c,6/30/2018,MOWA,S,0,1,1,
3,c,6/30/2018,ALFL,S,0,3,1,
3,c,6/30/2018,VEER,S,3,3,1,
3,c,6/30/2018,VEER,S,1,4,1,
3,c,6/30/2018,AMBI,S,0,2,1,
3,c,6/30/2018,CSWA,S,3,1,1,
3,d,6/30/2018,SCTA,S,0,4,1,
3,d,6/30/2018,UPBD,S,2,3,1,
3,d,6/30/2018,REVI,S,0,4,1,
3,d,6/30/2018,OVEN,S,4,2,1,
3,d,6/30/2018,CSWA,S,1,4,1,
3,d,6/30/2018,OVEN,S,0,3,1,
3,d,6/30/2018,AMRE,S,0,4,1,
3,d,6/30/2018,OVEN,D,0,3,1,
3,d,6/30/2018,WTSP,C,0,3,1,
4,a,5/31/2018,CSWA,S,0,4,1,
4,a,5/31/2018,CSWA,S,0,3,1,
4,a,5/31/2018,REVI,S,0,3,1,
4,a,5/31/2018,REVI,D,4,3,1,
4,a,5/31/2018,UPBD,S,0,2,1,
4,a,5/31/2018,RBGR,F,0,2,1,
4,a,5/31/2018,GWWA,S,0,3,1,
4,a,5/31/2018,AMRE,S,0,3,1,
4,a,5/31/2018,BCCH,S,4,4,1,
4,a,5/31/2018,CSWA,S,2,2,1,
4,a,5/31/2018,COYE,S,2,2,1,
4,a,5/31/2018,VEER,S,0,3,1,
4,a,5/31/2018,OVEN,S,0,2,1,
4,a,5/31/2018,RTHU,S,0,4,1,
4,a,5/31/2018,ALFL,S,0,1,1,
4,a,5/31/2018,AMGO,C,4,4,1,
4,b,5/31/2018,SCTA,S,0,3,1,
4,b,5/31/2018,NAWA,S,0,3,1,
4,b,5/31/2018,YBSA,S,0,2,1,
4,b,5/31/2018,SEWR,S,0,1,1,
4,b,5/31/2018,UPBD,S,4,2,1,
4,b,5/31/2018,CSWA,S,0,2,1,
4,b,5/31/2018,OVEN,S,0,3,1,
4,b,5/31/2018,VEER,C,0,3,1,
4,b,5/31/2018,CORA,S,0,4,1,
4,b,5/31/2018,VEER,S,4,1,1,
4,c,5/31/2018,BCCH,S,2,2,1,
4,c,5/31/2018,ALFL,S,0,2,1,
4,c,5/31/2018,NAWA,S,0,2,1,
4,c,5/31/2018,CSWA,S,0,2,1,
4,c,5/31/2018,AMRE,C,0,4,1,
4,c,5/31/2018,ALFL,S,3,1,1,
4,c,5/31/2018,SOSP,S,0,4,1,
4,c,5/31/2018,NAWA,S,2,1,1,
4,d,5/31/2018,UWPR,S,4,1,1,
4,d,5/31/2018,ALFL,S,0,1,1,
4,d,5/31/2018,VEER,S,0,2,1,
4,d,5/31/2018,OVEN,S,0,3,1,
4,d,5/31/2018,RUGR,D,3,4,1,
4,d,5/31/2018,AMRE,S,2,2,1,
4,d,5/31/2018,AMRO,S,0,3,1,
4,d,5/31/2018,ALFL,S,0,4,1,
4,d,5/31/2018,ALFL,D,3,3,1,
4,d,5/31/2018,NAWA,S,0,2,1,
4,d,5/31/2018,COYE,S,0,3,1,
5,a,5/28/2018,AMRE,S,0,4,1,
5,a,5/28/2018,GWWA,S,0,3,1,
5,a,5/28/2018,GWWA,S,0,2,2,
5,a,5/28/2018,BAWW,S,4,3,1,
5,a,5/28/2018,AMRE,C,0,1,1,
5,a,5/28/2018,CSWA,S,4,2,1,
5,a,5/28/2018,ALFL,S,1,1,1,
5,a,5/28/2018,VEER,S,0,3,2,
5,a,5/28/2018,NAWA,S,3,3,1,
5,a,5/28/2018,YBSA,S,4,2,1,
5,a,5/28/2018,WTSP,S,0,3,2,
5,a,5/28/2018,NAWA,S,0,3,1,
5,b,5/28/2018,OVEN,C,2,1,1,
5,b,5/28/2018,NAWA,O,3,2,1,
5,b,5/28/2018,VEER,S,2,3,1,
5,b,5/28/2018,RBGR,S,0,3,1,
5,b,5/28/2018,GRCA,S,0,2,1,
5,b,5/28/2018,ALFL,D,0,2,1,
5,b,5/28/2018,OVEN,C,4,2,1,
5,b,5/28/2018,BLJA,S,0,1,1,
5,c,5/28/2018,AMRE,O,3,1,1,
5,c,5/28/2018,VEER,S,0,3,1,
5,c,5/28/2018,COYE,S,3,4,1,
5,c,5/28/2018,COYE,S,0,3,1,
5,c,5/28/2018,GWWA,C,0,3,1,
5,c,5/28/2018,UPBD,S,0,2,1,
5,c,5/28/2018,BLJA,C,4,2,1,
5,c,5/28/2018,ALFL,S,0,3,1,
5,c,5/28/2018,COYE,S,4,2,1,
5,c,5/28/2018,OVEN,S,0,2,1,
5,c,5/28/2018,WTSP,S,0,2,1,
5,d,5/28/2018,ALFL,C,3,1,1,
5,d,5/28/2018,VEER,S,0,2,1,
5,d,5/28/2018,UPBD,S,1,1,1,
5,d,5/28/2018,REVI,C,0,3,1,
